title,href,dealDate,totalPrice,positionInfo,unitPrice,dealHouseTxt
当代国际城 2室2厅 84.05平米,https://wh.lianjia.com/chengjiao/104103658990.html,2020.07.13,165万,中楼层(共29层) 2017年建板楼,19572元/平,近地铁
当代国际城 2室2厅 83.6平米,https://wh.lianjia.com/chengjiao/104104577035.html,2020.07.13,165万,高楼层(共30层) 2016年建板楼,19689元/平,房屋满两年近地铁
当代国际城 2室2厅 84.05平米,https://wh.lianjia.com/chengjiao/104104148828.html,2020.07.13,159万,中楼层(共29层) 2017年建板楼,18918元/平,近地铁
当代国际城 3室2厅 114.7平米,https://wh.lianjia.com/chengjiao/104104535318.html,2020.07.10,249万,中楼层(共11层) 2017年建板楼,21640元/平,近地铁
当代国际城 2室2厅 83平米,https://wh.lianjia.com/chengjiao/104104118677.html,2020.07.04,152万,低楼层(共30层) 2017年建板楼,18290元/平,近地铁
当代国际城 3室2厅 112.41平米,https://wh.lianjia.com/chengjiao/104104297994.html,2020.06.28,212万,低楼层(共30层) 2017年建板楼,18860元/平,近地铁
当代国际城 3室2厅 103.07平米,https://wh.lianjia.com/chengjiao/104102774018.html,2020.06.23,195万,高楼层(共11层) 2016年建板楼,18920元/平,近地铁
当代国际城 2室2厅 83.82平米,https://wh.lianjia.com/chengjiao/104104369463.html,2020.06.21,156万,高楼层(共30层) 2017年建板楼,18612元/平,近地铁
当代国际城 2室1厅 84平米,https://wh.lianjia.com/chengjiao/104102642324.html,2020.06.20,158万,高楼层(共30层) 2017年建板楼,18810元/平,近地铁
当代国际城 3室2厅 112.7平米,https://wh.lianjia.com/chengjiao/104102167391.html,2020.06.13,215万,中楼层(共31层) 2017年建板楼,19078元/平,近地铁
当代国际城 3室2厅 103.04平米,https://wh.lianjia.com/chengjiao/104104097552.html,2020.06.12,203万,高楼层(共11层) 2017年建板楼,19702元/平,近地铁
当代国际城 3室2厅 112.36平米,https://wh.lianjia.com/chengjiao/104104318889.html,2020.06.11,210万,中楼层(共30层) 2017年建板楼,18690元/平,近地铁
当代国际城 3室2厅 118.36平米,https://wh.lianjia.com/chengjiao/104104109669.html,2020.06.08,234万,低楼层(共11层) 2016年建板楼,19754元/平,房屋满两年近地铁
当代国际城 3室2厅 112.36平米,https://wh.lianjia.com/chengjiao/104104015572.html,2020.06.07,214万,低楼层(共30层) 2017年建板楼,19029元/平,近地铁
当代国际城 3室2厅 102.82平米,https://wh.lianjia.com/chengjiao/104103369041.html,2020.05.30,203万,中楼层(共11层) 2016年建板楼,19744元/平,近地铁
当代国际城 3室2厅 102.8平米,https://wh.lianjia.com/chengjiao/104103231534.html,2020.05.18,190万,中楼层(共11层) 2017年建板楼,18483元/平,近地铁
当代国际城 3室2厅 112.41平米,https://wh.lianjia.com/chengjiao/104103362291.html,2020.05.17,196万,中楼层(共30层) 2017年建板楼,17419元/平,近地铁
当代国际城 2室2厅 83.85平米,https://wh.lianjia.com/chengjiao/104102361011.html,2020.05.04,158万,中楼层(共30层) 2017年建板楼,18844元/平,近地铁
当代国际城 3室2厅 112.7平米,https://wh.lianjia.com/chengjiao/104102099000.html,2020.04.11,197万,低楼层(共31层) 2017年建板楼,17481元/平,近地铁
当代国际城 2室1厅 84平米,https://wh.lianjia.com/chengjiao/104102642250.html,2020.01.18,165万,高楼层(共30层) 2017年建板楼,19584元/平,近地铁
当代国际城 3室2厅 112.36平米,https://wh.lianjia.com/chengjiao/104102388157.html,2020.01.12,218万,中楼层(共29层) 2017年建板楼,19402元/平,近地铁
当代国际城 3室1厅 112.25平米,https://wh.lianjia.com/chengjiao/104102219201.html,2020.01.10,220万,高楼层(共30层) 2016年建板楼,19600元/平,
当代国际城 2室1厅 83.75平米,https://wh.lianjia.com/chengjiao/104103525015.html,2020.01.02,168万,高楼层(共30层) 2016年建板楼,20060元/平,房屋满两年近地铁
当代国际城 2室2厅 83.6平米,https://wh.lianjia.com/chengjiao/104103155898.html,2019.12.31,175万,高楼层(共30层) 2016年建板楼,20850元/平,房屋满两年近地铁
